Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
ALG5_YEAST,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,ME2
DCP3_YEAST,0.52,0.46,0.51,0.18,0.5,0.0,0.5,0.22,CYT
THIK_YEAST,0.46,0.48,0.44,0.21,0.5,0.0,0.55,0.22,POX
SC14_YEAST,0.38,0.4,0.53,0.12,0.5,0.0,0.55,0.22,CYT
IF52_YEAST,0.44,0.54,0.51,0.16,0.5,0.0,0.58,0.22,CYT
RS24_YEAST,0.61,0.38,0.57,0.36,0.5,0.0,0.44,0.21,CYT
HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,NUC
EF1A_YEAST,0.63,0.43,0.48,0.11,0.5,0.0,0.51,0.22,CYT
COX4_YEAST,0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,MIT
CATA_YEAST,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,POX
RL3A_YEAST,0.43,0.33,0.67,0.12,0.5,0.0,0.45,0.23,CYT
SNP2_YEAST,0.51,0.5,0.54,0.11,0.5,0.0,0.6,0.22,NUC
EF1A_YEAST,0.63,0.43,0.48,0.11,0.5,0.0,0.51,0.22,CYT
RAD4_YEAST,0.33,0.28,0.52,0.15,0.5,0.0,0.51,0.86,NUC
SPT7_YEAST,0.49,0.6,0.54,0.35,0.5,0.0,0.53,0.46,NUC
CYB_YEAST,0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,MIT
PPCK_YEAST,0.45,0.47,0.53,0.15,0.5,0.0,0.52,0.27,CYT
MT17_YEAST,0.34,0.54,0.54,0.13,0.5,0.0,0.52,0.22,CYT
KIN2_YEAST,0.36,0.35,0.47,0.22,0.5,0.0,0.44,0.31,ME3
PRCE_YEAST,0.46,0.62,0.54,0.25,0.5,0.0,0.46,0.22,CYT
HR25_YEAST,0.43,0.39,0.51,0.28,0.5,0.0,0.4,0.22,NUC
RFC3_YEAST,0.34,0.58,0.5,0.26,0.5,0.0,0.51,0.22,NUC
KRE6_YEAST,0.37,0.55,0.29,0.32,0.5,0.0,0.51,0.22,ME3
SOF1_YEAST,0.36,0.32,0.55,0.27,0.5,0.0,0.47,0.43,NUC
MDHP_YEAST,0.68,0.58,0.51,0.19,0.5,0.83,0.54,0.22,POX
TP20_YEAST,0.4,0.56,0.53,0.15,0.5,0.0,0.49,0.22,CYT
ROX3_YEAST,0.43,0.44,0.64,0.19,0.5,0.0,0.38,0.33,NUC
YHN8_YEAST,0.86,0.78,0.34,0.15,0.5,0.0,0.53,0.22,ME2
CLC1_YEAST,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,CYT
RPA9_YEAST,0.72,0.51,0.52,0.08,0.5,0.0,0.54,0.22,NUC
UBC2_YEAST,0.48,0.47,0.59,0.41,0.5,0.0,0.56,0.27,NUC
KCC1_YEAST,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,CYT
PMP1_YEAST,0.95,0.71,0.27,0.39,0.5,0.0,0.31,0.22,ME2
YIN4_YEAST,0.58,0.67,0.49,0.16,0.5,0.0,0.47,0.28,MIT
NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,NUC
TNT_YEAST,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,MIT
APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,VAC
RM44_YEAST,0.53,0.52,0.61,0.35,0.5,0.0,0.5,0.22,MIT
SYMM_YEAST,0.51,0.48,0.51,0.43,0.5,0.0,0.49,0.22,MIT
VATB_YEAST,0.44,0.35,0.55,0.14,0.5,0.0,0.52,0.22,VAC
RT08_YEAST,0.45,0.38,0.64,0.14,0.5,0.0,0.54,0.22,MIT
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,CYT
YB37_YEAST,0.8,0.82,0.4,0.31,0.5,0.0,0.57,0.25,ME1
NPL1_YEAST,0.65,0.66,0.37,0.12,0.5,0.0,0.52,0.27,ME3
RT02_YEAST,0.57,0.4,0.62,0.3,0.5,0.0,0.48,0.11,MIT
CNA1_YEAST,0.55,0.59,0.52,0.1,0.5,0.0,0.53,0.22,CYT
MNN1_YEAST,0.66,0.66,0.32,0.54,0.5,0.0,0.51,0.22,ME2
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,NUC
ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,CYT
NAB1_YEAST,0.49,0.6,0.55,0.17,0.5,0.0,0.44,0.22,CYT
TRK2_YEAST,0.59,0.48,0.41,0.53,0.5,0.0,0.48,0.56,ME3
MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0.0,0.49,0.41,NUC
PYRD_YEAST,0.48,0.39,0.56,0.23,0.5,0.0,0.6,0.22,CYT
KIP2_YEAST,0.38,0.49,0.54,1.0,0.5,0.0,0.5,0.27,CYT
EPT1_YEAST,0.29,0.43,0.4,0.15,0.5,0.0,0.53,0.22,ME3
COFI_YEAST,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,CYT
RL18_YEAST,0.45,0.5,0.57,0.29,0.5,0.0,0.44,0.11,CYT
RLA1_YEAST,0.66,0.6,0.52,0.19,0.5,0.0,0.69,0.22,CYT
SFL1_YEAST,0.49,0.49,0.52,0.18,0.5,0.0,0.51,0.25,NUC
YHI7_YEAST,0.29,0.26,0.43,0.17,0.5,0.0,0.55,0.3,ME3
RA25_YEAST,0.38,0.42,0.47,0.12,0.5,0.0,0.47,0.53,NUC
THDH_YEAST,0.5,0.53,0.45,0.44,0.5,0.0,0.49,0.22,MIT
DPOX_YEAST,0.32,0.49,0.53,0.28,0.5,0.0,0.5,0.5,NUC
STF2_YEAST,0.28,0.18,0.72,0.26,0.5,0.0,0.49,0.25,MIT
KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0.0,0.51,0.22,NUC
IMP2_YEAST,0.35,0.49,0.47,0.22,0.5,0.0,0.5,0.28,MIT
AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,MIT
RL46_YEAST,0.43,0.22,0.79,0.79,0.5,0.0,0.22,0.0,CYT
ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,CYT
CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,MIT
E2BB_YEAST,0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,CYT
NIN1_YEAST,0.47,0.5,0.55,0.19,0.5,0.0,0.62,0.22,CYT
ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,CYT
ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,NUC
GEF1_YEAST,0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,ME3
NUP1_YEAST,0.45,0.41,0.58,0.48,0.5,0.0,0.53,0.64,NUC
EXG1_YEAST,0.77,0.87,0.47,0.37,0.5,0.0,0.48,0.22,EXC
RAS1_YEAST,0.61,0.46,0.54,0.11,0.5,0.0,0.47,0.22,CYT
PT27_YEAST,0.26,0.28,0.6,0.2,0.5,0.0,0.54,0.31,MIT
PIS_YEAST,0.47,0.61,0.5,0.23,0.5,0.0,0.49,0.22,ME3
EF3_YEAST,0.48,0.58,0.47,0.17,0.5,0.0,0.53,0.74,CYT
SNC2_YEAST,0.25,0.35,0.22,0.18,0.5,0.0,0.46,0.22,ME3
AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT
LGT3_YEAST,0.46,0.4,0.38,0.18,0.5,0.0,0.49,0.22,ME3
YKY8_YEAST,0.25,0.4,0.52,0.15,0.5,0.0,0.56,0.28,NUC
STE2_YEAST,0.49,0.55,0.41,0.19,0.5,0.0,0.48,0.31,ME3
H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,NUC
HO_YEAST,0.53,0.53,0.53,0.17,0.5,0.0,0.49,0.37,NUC
ASG2_YEAST,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,EXC
SYG1_YEAST,0.31,0.51,0.38,0.18,0.5,0.0,0.46,0.31,ME3
STH1_YEAST,0.66,0.65,0.53,0.17,0.5,0.0,0.47,0.66,NUC
GLGB_YEAST,0.49,0.43,0.48,0.15,0.5,0.0,0.55,0.25,CYT
NAM9_YEAST,0.37,0.51,0.57,0.4,0.5,0.0,0.48,0.27,MIT
RFA2_YEAST,0.46,0.41,0.58,0.1,0.5,0.0,0.48,0.22,NUC
GAC1_YEAST,0.55,0.66,0.57,0.32,0.5,0.0,0.57,0.34,CYT
SC59_YEAST,0.51,0.51,0.32,0.27,0.5,0.0,0.54,0.22,ME3
CCE1_YEAST,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,MIT
CYC2_YEAST,0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,MIT
CPT1_YEAST,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,ME3
RTPT_YEAST,0.48,0.45,0.59,0.35,0.5,0.0,0.55,0.3,MIT
INV2_YEAST,0.74,0.82,0.46,0.24,0.5,0.0,0.48,0.22,EXC
PRCF_YEAST,0.35,0.47,0.53,0.19,0.5,0.0,0.48,0.22,CYT
NAM1_YEAST,0.51,0.46,0.54,0.41,0.5,0.0,0.53,0.22,MIT
SUP1_YEAST,0.41,0.49,0.55,0.13,0.5,0.0,0.55,0.22,CYT
GOG5_YEAST,0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,ME2
YAA7_YEAST,1.0,0.8,0.29,0.36,0.5,0.0,0.52,0.22,ME1
COXB_YEAST,0.5,0.41,0.44,0.5,0.5,0.0,0.42,0.22,MIT
SRS2_YEAST,0.51,0.61,0.5,0.23,0.5,0.0,0.52,0.61,NUC
SDH3_YEAST,0.54,0.64,0.4,0.56,0.5,0.0,0.51,0.22,MIT
TRPF_YEAST,0.62,0.6,0.54,0.22,0.5,0.0,0.54,0.27,CYT
YHK8_YEAST,0.49,0.56,0.37,0.2,0.5,0.0,0.53,0.22,ME3
CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,NUC
TUP1_YEAST,0.5,0.43,0.56,0.17,0.5,0.0,0.35,0.22,NUC
RA54_YEAST,0.43,0.41,0.51,0.34,0.5,0.0,0.49,0.28,NUC
CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,NUC
R161_YEAST,0.49,0.4,0.58,0.23,0.5,0.0,0.47,0.27,CYT
YHF0_YEAST,0.5,0.63,0.45,0.13,0.5,0.0,0.45,0.32,ME3
SC12_YEAST,0.55,0.52,0.44,0.2,0.5,0.0,0.56,0.22,ME2
RL44_YEAST,0.34,0.34,0.65,0.4,0.5,0.0,0.32,0.16,CYT
UCR6_YEAST,0.64,0.53,0.59,0.14,0.5,0.0,0.53,0.22,MIT
SOK1_YEAST,0.46,0.41,0.45,0.23,0.5,0.0,0.48,0.22,NUC
SMC2_YEAST,0.4,0.75,0.44,0.12,0.5,0.0,0.49,0.22,NUC
YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0.0,0.47,0.4,NUC
CHS3_YEAST,0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,ME3
RM31_YEAST,0.58,0.52,0.61,0.33,0.5,0.0,0.38,0.11,MIT
HMD1_YEAST,0.51,0.63,0.3,0.35,0.5,0.0,0.53,0.27,ME3
OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,CYT
PGK_YEAST,0.48,0.42,0.48,0.19,0.5,0.0,0.58,0.22,CYT
RM25_YEAST,0.45,0.43,0.63,0.4,0.5,0.0,0.59,0.11,MIT
IF2G_YEAST,0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,CYT
SC20_YEAST,0.46,0.47,0.44,0.18,1.0,0.0,0.46,0.22,ME2
FUS3_YEAST,0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,CYT
SC17_YEAST,0.46,0.44,0.58,0.17,0.5,0.0,0.55,0.22,CYT
PT17_YEAST,0.75,0.6,0.43,0.35,0.5,0.0,0.45,0.27,MIT
AMPL_YEAST,0.42,0.32,0.48,0.16,0.5,0.0,0.55,0.22,VAC
ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,MIT
PR21_YEAST,0.38,0.26,0.6,0.1,0.5,0.0,0.48,0.44,NUC
YCD8_YEAST,0.3,0.68,0.41,0.17,0.5,0.0,0.51,0.22,ME3
SIR1_YEAST,0.45,0.41,0.53,0.49,0.5,0.0,0.49,0.31,NUC
MOD5_YEAST,0.67,0.51,0.54,0.21,0.5,0.0,0.43,0.3,MIT
CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,CYT
UBP3_YEAST,0.27,0.43,0.5,0.13,0.5,0.0,0.54,0.31,CYT
SP14_YEAST,0.52,0.45,0.45,0.13,0.5,0.0,0.48,0.22,NUC
FOX2_YEAST,0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,POX
ERD1_YEAST,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,ME3
IF5_YEAST,0.41,0.46,0.57,0.25,0.5,0.0,0.57,0.38,CYT
PPAC_YEAST,0.74,0.72,0.5,0.28,0.5,0.0,0.49,0.27,EXC
SC15_YEAST,0.55,0.55,0.52,0.13,0.5,0.0,0.53,0.25,CYT
RM36_YEAST,0.64,0.64,0.56,0.21,0.5,0.0,0.5,0.22,MIT
IPYR_YEAST,0.43,0.51,0.6,0.25,0.5,0.0,0.55,0.22,CYT
CIN1_YEAST,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,CYT
RAT1_YEAST,0.53,0.46,0.54,0.37,0.5,0.0,0.51,0.3,NUC
COQ2_YEAST,0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,MIT
UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,NUC
RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,NUC
SON1_YEAST,0.4,0.39,0.6,0.23,0.5,0.0,0.52,0.31,NUC
ROX1_YEAST,0.5,0.36,0.64,0.37,0.5,0.0,0.37,0.33,NUC
6PGD_YEAST,0.74,0.53,0.5,0.08,0.5,0.0,0.55,0.31,CYT
RL12_YEAST,0.59,0.51,0.48,0.12,0.5,0.0,0.54,0.31,CYT
ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,NUC
GCN1_YEAST,0.41,0.52,0.41,0.11,0.5,0.0,0.54,0.35,CYT
YAG3_YEAST,0.88,0.75,0.41,0.36,0.5,0.0,0.43,0.22,ME2
YJ43_YEAST,0.4,0.51,0.42,0.13,0.5,0.0,0.45,0.25,ME3
PMGY_YEAST,0.55,0.41,0.56,0.21,0.5,0.0,0.52,0.22,CYT
TF3B_YEAST,0.49,0.51,0.52,0.13,0.5,0.0,0.51,0.33,NUC
ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,MIT
YBC4_YEAST,0.32,0.3,0.57,0.38,0.5,0.0,0.5,0.25,NUC
TFC4_YEAST,0.33,0.17,0.52,0.13,0.5,0.0,0.51,0.75,NUC
SYSC_YEAST,0.3,0.33,0.55,0.12,0.5,0.0,0.53,0.38,CYT
BET1_YEAST,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,ME3
ATPE_YEAST,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,MIT
KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,NUC
PORI_YEAST,0.41,0.49,0.58,0.22,0.5,0.0,0.52,0.22,MIT
SYFA_YEAST,0.45,0.4,0.56,0.14,0.5,0.0,0.54,0.22,CYT
YK44_YEAST,0.58,0.56,0.38,0.39,0.5,0.0,0.54,0.57,NUC
RM49_YEAST,0.5,0.46,0.64,0.36,0.5,0.0,0.49,0.22,MIT
DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,NUC
KRE1_YEAST,0.84,0.87,0.45,0.54,0.5,0.0,0.28,0.22,ME1
R19A_YEAST,0.52,0.43,0.61,0.22,0.5,0.0,0.45,0.22,CYT
CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,NUC
TF2B_YEAST,0.58,0.64,0.42,0.3,0.5,0.0,0.54,0.22,NUC
ATC1_YEAST,0.44,0.43,0.34,0.21,0.5,0.0,0.55,0.4,ME3
PDR4_YEAST,0.57,0.53,0.6,0.28,0.5,0.0,0.52,0.45,NUC
YJ51_YEAST,0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,ME2
SKO1_YEAST,0.47,0.55,0.57,0.17,0.5,0.0,0.52,0.66,NUC
VATX_YEAST,0.48,0.58,0.58,0.12,0.5,0.0,0.49,0.22,VAC
S160_YEAST,0.46,0.49,0.55,0.18,0.5,0.0,0.56,0.22,NUC
JNM1_YEAST,0.42,0.25,0.6,0.14,0.5,0.0,0.45,0.22,CYT
RPA3_YEAST,0.57,0.37,0.43,0.27,0.5,0.0,0.53,0.28,NUC
RL9_YEAST,0.48,0.46,0.58,0.16,0.5,0.0,0.45,0.22,CYT
6P2K_YEAST,0.45,0.41,0.49,0.14,1.0,0.0,0.53,0.3,CYT
PDC2_YEAST,0.51,0.46,0.57,0.25,0.5,0.0,0.53,0.22,CYT
PUT3_YEAST,0.29,0.4,0.41,0.48,0.5,0.0,0.53,0.3,NUC
RPC8_YEAST,0.57,0.42,0.63,0.22,0.5,0.0,0.68,0.32,NUC
MA3S_YEAST,0.39,0.37,0.56,0.15,0.5,0.0,0.5,0.27,CYT
VP34_YEAST,0.57,0.47,0.48,0.17,0.5,0.0,0.52,0.26,VAC
MIF2_YEAST,0.37,0.31,0.53,0.16,0.5,0.0,0.53,0.44,NUC
RL12_YEAST,0.59,0.51,0.48,0.12,0.5,0.0,0.54,0.31,CYT
RS6_YEAST,0.46,0.33,0.45,0.22,0.5,0.0,0.41,0.37,CYT
IF51_YEAST,0.44,0.55,0.51,0.16,0.5,0.0,0.6,0.22,CYT
RCA1_YEAST,0.41,0.41,0.43,0.61,0.5,0.0,0.53,0.22,MIT
RA26_YEAST,0.47,0.43,0.48,0.16,0.5,0.0,0.46,0.27,NUC
HXT2_YEAST,0.49,0.4,0.34,0.26,0.5,0.0,0.5,0.22,ME3
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,MIT
TOP1_YEAST,0.41,0.42,0.53,0.17,0.5,0.0,0.48,0.58,NUC
FPS1_YEAST,0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,ME3
RED1_YEAST,0.57,0.55,0.52,0.16,0.5,0.0,0.49,0.39,NUC
HSP7_YEAST,0.38,0.46,0.52,0.75,0.5,0.0,0.5,0.26,MIT
USO1_YEAST,0.5,0.47,0.45,0.14,0.5,0.0,0.53,0.32,ME3
OPI1_YEAST,0.58,0.51,0.56,0.16,0.5,0.0,0.34,0.22,NUC
RAM2_YEAST,0.4,0.6,0.5,0.16,0.5,0.0,0.51,0.22,CYT
HEM3_YEAST,0.46,0.45,0.56,0.16,0.5,0.0,0.56,0.22,CYT
CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,NUC
SNC1_YEAST,0.27,0.41,0.24,0.2,0.5,0.0,0.49,0.22,ME3
ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,CYT
N100_YEAST,0.9,0.54,0.59,0.2,0.5,0.0,0.48,0.22,NUC
ATPA_YEAST,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,MIT
YHR0_YEAST,0.8,0.73,0.47,0.19,0.5,0.0,0.49,0.22,ME1
SMI1_YEAST,0.43,0.32,0.56,0.27,0.5,0.0,0.47,0.27,NUC
YKW0_YEAST,0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,ME2
RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,CYT
SNF5_YEAST,0.66,0.43,0.57,0.6,0.5,0.0,0.19,0.33,NUC
FRE1_YEAST,0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,ME1
BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,NUC
NAB2_YEAST,0.56,0.63,0.52,0.2,0.5,0.0,0.34,0.26,NUC
RS8_YEAST,0.37,0.3,0.62,0.43,0.5,0.0,0.44,0.39,CYT
ADR6_YEAST,0.48,0.17,0.37,0.33,0.5,0.0,0.44,0.36,NUC
SYWM_YEAST,0.44,0.53,0.53,0.37,0.5,0.0,0.51,0.22,MIT
SDH4_YEAST,0.47,0.58,0.47,0.52,0.5,0.0,0.54,0.22,MIT
ATC3_YEAST,0.4,0.39,0.33,0.17,0.5,0.0,0.51,0.31,VAC
DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,NUC
SWI5_YEAST,0.41,0.39,0.61,0.17,0.5,0.0,0.5,0.61,NUC
SHM1_YEAST,0.56,0.59,0.45,0.15,0.5,0.0,0.54,0.22,MIT
KIP1_YEAST,0.43,0.52,0.53,0.52,1.0,0.0,0.49,0.22,CYT
PIR1_YEAST,0.77,0.78,0.51,0.28,0.5,0.0,0.33,0.22,EXC
CY1_YEAST,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,MIT
CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,NUC
PPA5_YEAST,0.74,0.74,0.51,0.27,0.5,0.0,0.5,0.22,EXC
DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,CYT
HXTY_YEAST,0.33,0.28,0.31,0.24,0.5,0.0,0.53,0.22,ME3
UBR1_YEAST,0.42,0.46,0.44,0.17,0.5,0.0,0.51,0.42,CYT
CBS2_YEAST,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,MIT
YCZ6_YEAST,0.58,0.44,0.45,0.32,0.5,0.0,0.52,0.37,NUC
KAPA_YEAST,0.25,0.26,0.53,0.17,0.5,0.0,0.45,0.22,CYT
PNPP_YEAST,0.38,0.62,0.52,0.14,0.5,0.0,0.53,0.22,CYT
SRB5_YEAST,0.6,0.62,0.54,0.11,0.5,0.0,0.51,0.22,NUC
YK68_YEAST,0.32,0.29,0.29,0.08,0.5,0.0,0.52,0.22,ME3
SPT2_YEAST,0.37,0.48,0.67,0.37,0.5,0.0,0.56,0.62,NUC
NUF1_YEAST,0.51,0.34,0.49,0.16,0.5,0.0,0.53,0.21,NUC
PMM_YEAST,0.54,0.51,0.56,0.15,0.5,0.0,0.54,0.31,CYT
PH84_YEAST,0.38,0.45,0.37,0.19,0.5,0.0,0.52,0.3,ME3
OM45_YEAST,0.75,0.66,0.64,0.39,0.5,0.0,0.46,0.32,MIT
ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,MIT
KEX2_YEAST,0.7,0.73,0.38,0.36,0.5,0.0,0.54,0.22,ME1
KR11_YEAST,0.27,0.56,0.56,0.18,0.5,0.0,0.52,0.22,CYT
COX7_YEAST,0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,MIT
YHY1_YEAST,0.77,0.68,0.35,0.19,0.5,0.0,0.53,0.43,ME1
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,CYT
PLSC_YEAST,0.8,0.69,0.53,0.33,0.5,0.0,0.51,0.22,ME2
YCG9_YEAST,0.74,0.73,0.32,0.2,0.5,0.0,0.55,0.22,ME1
SRB6_YEAST,0.55,0.47,0.53,0.2,0.5,0.0,0.4,0.22,NUC
CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,NUC
SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,CYT
RM08_YEAST,0.55,0.5,0.6,0.31,0.5,0.0,0.46,0.27,MIT
RAP1_YEAST,0.54,0.53,0.53,0.17,0.5,0.0,0.51,0.39,NUC
PTP2_YEAST,0.45,0.27,0.5,0.33,0.5,0.0,0.53,0.26,CYT
COXX_YEAST,0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,MIT
YIB3_YEAST,0.52,0.46,0.34,0.2,0.5,0.0,0.51,0.25,ME3
RU17_YEAST,0.33,0.46,0.6,0.18,0.5,0.0,0.51,0.26,NUC
DPSD_YEAST,0.51,0.46,0.4,0.65,0.5,0.0,0.49,0.22,MIT
RL41_YEAST,0.35,0.21,1.0,0.8,0.5,0.0,0.13,0.01,CYT
RL3_YEAST,0.48,0.44,0.46,0.37,0.5,0.0,0.46,0.36,CYT
DPO4_YEAST,0.56,0.5,0.56,0.26,0.5,0.0,0.53,0.27,NUC
RA51_YEAST,0.55,0.59,0.53,0.15,0.5,0.0,0.49,0.22,NUC
RPC1_YEAST,0.56,0.61,0.52,0.19,0.5,0.0,0.52,0.32,NUC
ACP_YEAST,0.52,0.53,0.58,0.69,0.5,0.0,0.5,0.22,MIT
F16P_YEAST,0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,CYT
RA52_YEAST,0.31,0.39,0.55,0.28,0.5,0.0,0.46,0.31,NUC
K6P2_YEAST,0.62,0.43,0.49,0.29,0.5,0.0,0.5,0.27,CYT
ATP7_YEAST,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,MIT
TKT2_YEAST,0.55,0.69,0.51,0.12,0.5,0.0,0.51,0.22,CYT
YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,NUC
KTR2_YEAST,0.76,0.74,0.56,0.34,0.5,0.0,0.51,0.3,ME2
SP23_YEAST,0.48,0.65,0.36,0.24,0.5,0.0,0.54,0.31,NUC
ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,CYT
RA57_YEAST,0.41,0.52,0.56,0.26,0.5,0.0,0.48,0.32,NUC
DHSA_YEAST,0.56,0.65,0.49,0.56,0.5,0.0,0.49,0.22,MIT
ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,MIT
PR05_YEAST,0.33,0.21,0.53,0.15,1.0,0.0,0.52,0.5,NUC
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,MIT
RA23_YEAST,0.43,0.48,0.53,0.18,0.5,0.0,0.46,0.22,NUC
PPR1_YEAST,0.42,0.28,0.51,0.23,0.5,0.0,0.53,0.27,NUC
SIS1_YEAST,0.56,0.55,0.57,0.15,0.5,0.0,0.54,0.25,CYT
SRD1_YEAST,0.53,0.25,0.59,0.27,0.5,0.0,0.45,0.26,NUC
RT04_YEAST,0.42,0.53,0.53,0.64,0.5,0.0,0.47,0.22,MIT
INV4_YEAST,0.75,0.76,0.58,0.22,0.5,0.0,0.49,0.22,EXC
SPR1_YEAST,0.66,0.65,0.54,0.4,0.5,0.0,0.51,0.22,EXC
CH10_YEAST,0.55,0.53,0.56,0.29,0.5,0.0,0.48,0.22,MIT
NFS1_YEAST,0.48,0.54,0.53,0.6,0.5,0.0,0.53,0.31,NUC
RTG1_YEAST,0.41,0.46,0.58,0.08,0.5,0.0,0.51,0.28,NUC
NSP1_YEAST,0.87,0.47,0.6,0.47,0.5,0.0,0.59,0.22,NUC
G3P3_YEAST,0.61,0.52,0.5,0.44,0.5,0.0,0.53,0.22,CYT
FKB2_YEAST,0.74,0.72,0.47,0.25,0.5,0.0,0.57,0.22,ME1
TRK1_YEAST,0.55,0.39,0.39,0.47,0.5,0.0,0.5,0.83,ME3
COXA_YEAST,0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,MIT
